Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
TOI-481,G,5735,1.66,1.14,0.435,4.06,6.7
TOI-5153,F8 V,6300,1.4,1.24,0.464,4.3,5.4
TOI-5174,,5643.77,1.09,1,0.039,4.36,
TOI-519,M3.5,3350,0.37,0.37,-1.857,5,
TOI-5205,M4.0,3430,0.39,0.39,-1.712,4.84,
TOI-5238,,5631,1.02,1,-0.023,4.42,
TOI-530,M0.5 V,3659,0.54,0.53,-1.31,4.7,
TOI-532,,3927,0.61,0.64,-1.095,4.67,7.1
TOI-5398,,6017.1,1.05,1.11,0.117,4.44,
TOI-540,M V,3216,0.19,0.16,-2.461,4.44,1.1
TOI-544,,4369,0.66,0.85,-0.9,4.73,
TOI-5542,G3 V,5700,1.06,0.89,1.057,4.2,10.8
TOI-558,F V,6466,1.5,1.35,0.547,4.22,1.79
TOI-559,G V,5925,1.23,1.03,0.227,4.27,6.8
TOI-564,,5640,1.09,1,0.033,4.36,7.3
TOI-620,M2.5 V,3708,0.55,0.58,-1.288,4.72,7.2
TOI-628,,6250,1.34,1.31,0.394,4.3,1.28
TOI-640,,6460,2.08,1.54,0.834,3.99,1.99
TOI-674,M2 V,3514,0.42,0.42,-1.614,4.81,
TOI-677,F8,6295,1.28,1.18,0.312,4.29,2.92
TOI-813,G0 IV,5907,1.94,1.32,0.619,3.86,3.73
TOI-824,K4 V,4600,0.7,0.71,-0.71,4.61,7.5
TOI-833,,3920,0.6,0.61,-1.111,4.67,
TOI-837,G0/F9 V,6047,1.02,1.12,0.041,4.47,0.035
TOI-849,G,5373.8,0.92,0.93,-0.218,4.48,6.7
TOI-892,F,6261,1.39,1.28,0.431,4.26,2.2
TOI-905,,5570,0.92,0.97,-0.137,4.5,3.4
TOI-954,,5710,1.89,1.2,0.535,3.96,6.14
TYC 0434-04538-1,,4679,9.99,1.04,1.67,2.49,
TYC 2187-512-1,M1.0 V,3734,0.5,0.5,-1.381,4.68,
TYC 3318-01333-1,,4776,5.9,1.19,1.21,2.97,
TYC 3667-1280-1,,5130,6.26,1.87,1.38,3.11,1.35
TYC 4282-00605-1,,4300,16.21,0.97,1.91,2,10.1
TrES-1,K0 V,5230,0.85,1.04,-0.301,4.57,3.7
TrES-2,G0 V,5850,1.12,1.36,0.038,4.43,3.55
TrES-3,G4 V,5650,0.83,0.93,-0.204,4.4,0.9
TrES-4,F8 V,6200,1.66,1.08,0.726,4.06,2.2
TrES-5,,5171,0.87,0.9,-0.344,4.52,7.4
UKIRT-2017-BLG-001L,,,,0.81,,,
USco CTIO 108,M7,2700,0.35,0.06,-1.95,4.88,0.003
USco1556 A,M3.0 V,3410,0.67,0.33,-1.09,4.59,0.007
USco1621 A,M2.5 V,3460,0.71,0.36,-1.02,4.25,0.007
V0391 Peg,sdBV,29300,0.23,0.5,1.433,5.4,10
V830 Tau,,4250,2,1,0.08,,0.002
VHS J125601.92-125723.9,M7.5,2620,,0.07,-3.14,5.05,0.225
WASP-1,F7 V,6110,1.47,1.24,0.441,4.21,3.4
WASP-10,K5 V,4675,0.7,0.75,-0.64,4.63,7
WASP-100,F2,6900,1.57,0.77,0.766,4.35,1.57
WASP-101,F6,6380,1.31,1.41,0.421,4.31,1.14
WASP-103,F8 V,6110,1.44,1.22,0.413,4.22,4
WASP-104,G8,5475,0.96,1.08,-0.19,4.5,3
WASP-105,K2,5070,0.9,0.89,-0.024,4.2,
WASP-106,F9,6055,1.31,0.93,0.422,4.23,7
WASP-11,K3 V,4800,0.89,1.42,0,4.45,7.6
WASP-110,G9,5400,0.86,0.95,-0.229,4.1,
WASP-113,G1,5890,1.61,1.32,0.516,4.2,6.2
WASP-114,G0,5940,1.43,1.29,0.333,4.3,4.3
WASP-117,F9,6040,1.22,1.29,0.274,4.28,4.6
WASP-118,F6,6410,1.7,1.32,0.659,4.1,1.17
WASP-119,G5,5650,1.2,1.02,0.075,4.26,8
WASP-12,,6360,1.66,1.43,0.597,4.16,2
WASP-120,F5,6450,1.87,1.39,0.675,4.04,2.6
WASP-121,F6 V,6776,1.46,1.36,0.644,4.24,1.5
WASP-123,G5,5740,1.29,1.17,0.162,4.29,6.9
WASP-124,F9,6050,1.02,1.07,0.149,4.44,2.1
WASP-127,,5620,1.33,0.95,0.276,4.18,11.41
WASP-129,G1,5900,0.9,1,0.112,4.53,1
WASP-13,,5950,1.37,0.72,0.436,4.06,5
WASP-130,G6,5625,0.96,1.04,-0.032,4.49,2
WASP-131,G0,6030,1.53,1.06,0.53,4.09,4.5
WASP-133,G4,5700,1.44,1.16,0.305,4.18,6.8
WASP-135,G5 V,5675,0.96,0.98,-0.326,4.47,0.6
WASP-136,,6260,2.21,1.41,0.823,3.9,3.62
WASP-138,,6272,1.36,1.22,0.435,4.25,3.44
WASP-139,K0,5310,0.8,0.92,-0.345,4.59,0.5
WASP-14,,6475,1.4,1.62,0.427,4.07,0.75
WASP-140,K0,5260,0.87,0.9,-0.294,4.51,0.5
WASP-141,F9,5900,1.37,1.25,0.315,4.26,5
WASP-142,F8,6010,1.64,1.33,0.513,4.13,2
WASP-144,K2 V,5200,0.81,0.81,-0.129,4.53,8.71
WASP-145 A,K2 V,4900,0.68,0.76,-0.684,4.65,6.99
WASP-147,G4,5702,1.43,1.04,0.287,4.21,8.47
WASP-15,F7,6300,1.48,1.18,0.49,4.35,2.4
WASP-150,F8,6218,1.65,1.39,0.558,4.15,2.95
WASP-151,G1,5871,1.18,1.08,0.145,4.35,5.5
WASP-153,G0,5914,1.73,1.34,0.46,4.1,4
WASP-156,K3,4910,0.76,0.84,-0.435,4.6,6.4
WASP-157,G2 V,5772,1.1,1.06,0.079,4.38,1.6
WASP-158,F6 V,6350,1.39,1.38,0.483,4.3,1.93
WASP-159,F9,6120,2.11,1.41,0.678,3.94,3.4
WASP-16,,5700,1.14,1.78,0.01,4.49,8.6
WASP-160 B,K0 V,5298,0.87,0.87,-0.318,4.5,9.75
WASP-161,,6400,1.71,1.39,0.647,4.11,
WASP-162,K0,5300,1.11,0.95,0.054,4.33,12.97
WASP-163,,5500,1.01,0.97,-0.076,4.41,
WASP-164,G2 V,5806,0.93,0.95,-0.067,4.46,4.08
WASP-165,G6,5599,1.75,1.25,0.428,3.93,4.77
WASP-166,F9 V,6050,1.22,1.19,0.283,4.34,2.1
WASP-167,F1 V,7000,1.79,1.59,0.897,4.13,1.29
WASP-168,F9 V,6000,1.12,1.08,0.155,4.37,3.96
WASP-169,F8,6110,2.01,1.34,0.789,3.96,3.802
WASP-17,F4,6550,1.49,2.28,0.613,4.2,2.65
WASP-170,,5600,0.94,0.93,-0.114,4.47,
WASP-171,G0,5965,1.64,1.17,0.672,4.08,5.908
