Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
Kepler-1532,,5559,0.88,0.91,-0.141,4.51,4.27
Kepler-1533,,6431,1.51,1.31,0.662,4.2,2.19
Kepler-1534,,5442,0.86,0.9,-0.233,4.52,4.57
Kepler-1535,,6021,1.11,1.08,0.165,4.38,3.47
Kepler-1536,,4434,0.67,0.71,-0.822,4.64,2.95
Kepler-1537,,5079,0.77,0.81,-0.423,4.58,5.01
Kepler-1538,,5837,1.03,1.03,-0.085,4.42,4.37
Kepler-1539,,5176,0.8,0.84,-0.426,4.57,4.79
Kepler-1540,,4540,0.69,0.74,-0.818,4.63,2.51
Kepler-1541,,5282,0.81,0.86,-0.336,4.56,4.47
Kepler-1543,,6561,1.65,1.39,0.487,4.14,1.91
Kepler-1544,,4886,0.74,0.81,-0.606,4.61,2.34
Kepler-1545,,5201,0.8,0.84,-0.277,4.57,4.47
Kepler-1546,,5623,0.93,0.95,-0.13,4.48,3.72
Kepler-1547,,6078,1.18,1.12,0.222,4.34,3.39
Kepler-1548,,5706,0.97,0.99,-0.307,4.46,4.37
Kepler-1549,,5324,0.84,0.88,-0.273,4.54,4.79
Kepler-1550,,5991,1.11,1.07,0.119,4.38,3.55
Kepler-1551,,6136,1.22,1.14,0.244,4.32,2.88
Kepler-1552,,5202,0.78,0.85,-0.201,4.58,3.31
Kepler-1553,,5288,0.81,0.85,-0.338,4.56,4.57
Kepler-1554,,5297,0.81,0.84,-0.393,4.56,4.68
Kepler-1555,,5866,1.06,1.04,0.389,4.4,4.37
Kepler-1556,,5608,0.95,0.97,-0.231,4.47,4.9
Kepler-1557,,6099,1.17,1.11,0.119,4.34,3.31
Kepler-1558,,5101,0.79,0.83,-0.48,4.57,4.9
Kepler-1559,,5316,0.82,0.86,-0.276,4.55,4.27
Kepler-1560,,5815,1.02,1.02,-0.034,4.43,4.17
Kepler-1561,,5957,1.11,1.07,-0.02,4.38,3.39
Kepler-1562,,5760,1.05,1.02,0.491,4.41,4.79
Kepler-1563,,5765,0.99,1,-0.01,4.45,4.07
Kepler-1564,,5528,0.9,0.93,-0.135,4.5,4.57
Kepler-1565,,4940,0.73,0.76,-0.564,4.6,5.62
Kepler-1566,,5254,0.81,0.84,-0.437,4.56,5.01
Kepler-1567,,5655,0.93,0.95,-0.122,4.49,4.17
Kepler-1568,,5956,1.19,1.09,0.258,4.32,4.57
Kepler-1569,,6319,1.4,1.25,0.335,4.24,2.45
Kepler-1570,,5550,0.89,0.92,0.414,4.5,4.17
Kepler-1571,,6297,1.39,1.23,0.194,4.24,2.34
Kepler-1572,,5618,0.95,0.97,0.373,4.47,4.79
Kepler-1573,,5808,1,1.01,0.169,4.44,4.07
Kepler-1574,,5892,1.08,1.06,0.156,4.4,3.8
Kepler-1575,,5667,0.92,0.95,-0.037,4.49,4.17
Kepler-1576,,5876,1.06,1.05,-0.063,4.4,4.07
Kepler-1577,,4862,0.74,0.78,-0.607,4.6,4.27
Kepler-1578,,5545,0.86,0.9,-0.165,4.53,4.27
Kepler-1579,,4584,0.7,0.75,-0.94,4.63,2.24
Kepler-1580,,6228,2.15,1.47,0.926,3.94,2.75
Kepler-1581,,6022,1.23,1.12,0.391,4.31,4.17
Kepler-1582,,3208,0.3,0.28,-2.389,4.93,7.76
Kepler-1583,,5645,0.91,0.94,-0.018,4.49,4.27
Kepler-1584,,6069,1.13,1.1,0.252,4.37,3.31
Kepler-1585,,5538,0.91,0.94,-0.434,4.5,4.37
Kepler-1586,,6681,1.75,1.45,0.183,4.12,1.7
Kepler-1587,,5933,1.22,1.08,0.326,4.3,5.01
Kepler-1588,,5817,0.99,0.96,0.32,4.43,5.5
Kepler-1589,,6166,1.25,1.18,0.329,4.32,2.75
Kepler-1590,,6053,1.16,1.11,0.063,4.35,3.39
Kepler-1591,,6082,1.16,1.1,0.434,4.35,3.24
Kepler-1592,,6213,1.28,1.18,0.507,4.29,2.69
Kepler-1593,,4995,0.77,0.81,-0.652,4.59,3.63
Kepler-1594,,5946,1.08,1.06,0,4.39,3.89
Kepler-1595,,5203,0.8,0.84,-0.363,4.56,4.68
Kepler-1596,,5706,0.92,0.95,0.431,4.49,3.89
Kepler-1597,,6377,1.39,1.25,0.434,4.24,2.4
Kepler-1598,,5940,1.09,1.07,-0.039,4.39,3.8
Kepler-1599,,5767,0.99,0.99,0.241,4.45,4.27
Kepler-16,,4450,0.65,0.69,-0.903,4.65,3.8
Kepler-1601,,5869,1.07,1.04,0.085,4.4,4.27
Kepler-1602,,6296,1.36,1.22,0.201,4.25,2.51
Kepler-1603,,6241,1.31,1.21,0.706,4.28,2.82
Kepler-1604,,4976,0.76,0.81,-0.527,4.59,4.17
Kepler-1605,,5280,0.82,0.86,0.429,4.55,4.68
Kepler-1606,,5422,0.86,0.9,-0.171,4.53,4.27
Kepler-1607,,6116,1.21,1.14,0.709,4.33,3.16
Kepler-1608,,4992,0.72,0.75,-0.537,4.61,5.13
Kepler-1609,,6132,1.27,1.18,0.484,4.29,3.02
Kepler-1610,,5383,0.87,0.91,-0.483,4.52,4.68
Kepler-1611,,5605,0.93,0.94,-0.113,4.49,5.01
Kepler-1612,,5643,0.94,0.96,-0.188,4.48,4.57
Kepler-1613,,6005,1.12,1.08,0.638,4.37,3.55
Kepler-1614,,5121,0.76,0.79,-0.271,4.58,5.5
Kepler-1615,,5865,1.05,1.04,0.389,4.42,3.89
Kepler-1616,,6266,1.34,1.21,0.638,4.26,2.75
Kepler-1617,,6167,1.22,1.15,0.341,4.32,3.02
Kepler-1618,,6620,1.65,1.41,0.69,4.15,1.78
Kepler-1619,,5852,1,1,0.326,4.44,4.27
Kepler-1620,,6157,1.23,1.15,0.293,4.31,3.02
Kepler-1621,,6158,1.24,1.15,0.478,4.31,2.69
Kepler-1622,,6436,1.5,1.31,0.373,4.2,2.19
Kepler-1623,,5772,1,1,-0.172,4.44,4.27
Kepler-1624,,3636,0.47,0.5,-1.323,4.78,4.47
Kepler-1625,,5677,0.94,0.96,0.437,4.48,4.37
Kepler-1626,,6826,1.85,1.51,0.611,4.08,1.55
Kepler-1627,,5445,0.84,0.87,-0.303,4.54,4.68
Kepler-1628,,3724,0.52,0.55,-1.33,4.74,5.13
Kepler-1629,,5776,1.01,1.01,-0.134,4.44,4.27
Kepler-1630,,4736,0.63,0.66,-0.646,4.66,5.01
Kepler-1631,,5679,0.95,0.97,0.007,4.47,4.17
Kepler-1632,,6137,1.19,1.12,0.406,4.33,3.09
Kepler-1633,,6256,1.32,1.2,0.646,4.27,2.82
Kepler-1634,,5474,0.89,0.92,-0.265,4.51,4.47
Kepler-1635,,5347,0.85,0.89,-0.28,4.53,4.9
Kepler-1636,,5797,1.02,1.01,0.237,4.43,3.98
Kepler-1637,,5789,1.02,1.02,0.023,4.43,4.17
Kepler-1638,,5710,0.95,0.97,-0.114,4.47,4.37
Kepler-1639,,6150,1.18,1.12,0.145,4.34,3.16
Kepler-1640,,6324,1.43,1.27,0.47,4.23,2.4
Kepler-1643,,4916,0.86,0.85,-0.472,4.5,0.046
Kepler-1644,,5499,0.86,0.89,-0.215,4.53,4.27
Kepler-1645,,5812,1.02,1.02,0.336,4.43,4.17
Kepler-1646,,3299,0.26,0.24,-1.78,5.01,4.68
Kepler-1647,,6210,1.79,1.22,0.644,4.02,4.4
Kepler-1650,,3410,0.33,0.33,-1.871,4.86,13.9
Kepler-1651,,3713,0.5,0.52,-1.368,4.84,
Kepler-1652,,3638,0.38,0.4,-1.638,4.88,3.2
Kepler-1653,,4807,0.69,0.72,-0.636,4.62,7.7
Kepler-1654,G5 V,5597,1.18,1.01,0.09,4.3,5
Kepler-1655,G0 V,6148,1.03,1.03,0.143,4.36,2.56
Kepler-1658,,6216,2.89,1.45,1.206,3.67,2.01
Kepler-1661,K,5100,0.76,0.84,-0.513,4.66,2
Kepler-1663,,3844,0.63,0.61,-1.109,4.63,0
Kepler-1664,,5735.81,1.07,0.94,0.05,4.35,8.2
Kepler-1665,,5049.84,0.78,0.84,-0.45,4.58,13.9
Kepler-1667,,5941.54,1.09,1.09,0.123,4.4,4.7
Kepler-1668,,5542,1.02,0.98,-0.056,4.41,
Kepler-1670,,5838,1.52,1.05,0.383,4.1,0.3
Kepler-1671,,5135.55,0.93,0.87,-0.266,4.44,13.4
Kepler-1672,,6131.95,1.09,1.16,0.179,4.43,4.19
Kepler-1673,,6014.95,1.13,1.11,0.179,4.38,0.3
Kepler-1674,,5473.91,0.88,0.96,-0.206,4.53,0.5
Kepler-1675,,5853.19,1.13,1.06,0.129,4.36,1.9
Kepler-1676,,5878.3,1.06,1.07,0.084,4.47,0.3
Kepler-1677,,6013.72,1.25,1.11,0.265,4.29,0.3
Kepler-1678,,5754,0.83,1.03,-0.162,4.61,0.3
Kepler-1679,,5501,0.87,0.96,-0.201,4.54,0.4
Kepler-1680,,5021,0.72,0.83,-0.524,4.64,13.8
Kepler-1681,,5756.4,0.76,0.89,-0.293,4.54,3.3
Kepler-1682,,5619.12,0.84,0.99,-0.196,4.58,5.7
Kepler-1683,,5429,0.9,0.95,-0.198,4.51,13.6
Kepler-1684,,4706.54,0.67,0.75,-0.707,4.67,
Kepler-1685,,5484,0.84,0.96,-0.245,4.58,
Kepler-1686,,5714.96,1.2,1.02,0.141,4.29,0.4
Kepler-1687,,4132,0.73,0.65,-0.859,4.53,13.8
Kepler-1688,,4632.11,0.75,0.81,-0.636,4.6,14
Kepler-1689,,5731.43,1,1.02,-0.016,4.45,2.5
Kepler-1690,,5404,0.86,0.94,-0.243,4.54,8.5
Kepler-1691,,6000,1.13,1.11,0.175,4.38,0.61
Kepler-1692,,5146,0.87,0.87,-0.324,4.5,6.1
Kepler-1694,,4954,0.76,0.82,-0.508,4.59,0.7
Kepler-1695,,5473.19,0.99,0.96,-0.104,4.43,0.5
Kepler-1696,,5712,1.2,1.02,0.139,4.29,
Kepler-1697,,4681.53,0.77,0.75,-0.588,4.54,
Kepler-1698,,4975.03,0.74,0.82,-0.518,4.61,
Kepler-1699,,5575.53,0.73,0.81,-0.339,4.62,
Kepler-17,G2 V,5781,1.01,1.04,0.012,4.45,1.8
Kepler-1700,,6031,1.09,1.12,0.154,4.41,
Kepler-1701,,5146,0.84,0.87,-0.351,4.53,
Kepler-1702,,5093,0.73,0.85,-0.496,4.65,
Kepler-1704,,5746,1.7,1.13,0.452,4.03,7.4
Kepler-1708,,6157,1.12,1.09,0.182,4.37,3.16
Kepler-1709,,5918,1.04,1,0.115,4.4,2.2
Kepler-1710,,5650,0.9,0.93,-0.143,4.5,9.1
Kepler-1711,,5706,1.03,0.94,0.01,4.38,6.6
Kepler-1712,,3732,0.51,0.52,-1.179,4.74,13.8
Kepler-1713,,6477,1.46,1.3,0.486,4.22,1.45
Kepler-1714,,6150,2.09,1.45,0.76,3.96,3.05
Kepler-1715,,6212,1.21,1.08,0.417,4.31,0.82
Kepler-1716,,4894,0.68,0.75,-0.624,4.64,7.9
Kepler-1717,,6200,1.64,1.16,0.593,4.07,0.33
Kepler-1718,,5731,0.91,0.85,-0.04,4.45,10.4
Kepler-1719,,5687,1.78,1.08,0.526,3.97,7.7
Kepler-1720,,5573,0.84,0.94,-0.336,4.56,0.5
Kepler-1721,,5351,0.8,0.89,-0.407,4.58,0.7
Kepler-1722,,5506,0.79,0.88,-0.17,4.58,1.4
Kepler-1723,,6072,1.01,0.96,0.034,4.41,3.3
Kepler-1724,,6092,0.94,1.02,0.055,4.5,0.3
Kepler-1725,,6020,1.08,1.05,0.199,4.39,0.89
Kepler-1726,,5316,0.8,0.88,-0.37,4.57,10.9
Kepler-1727,,5349,0.82,0.82,-0.251,4.53,9.7
Kepler-1728,,5170,0.81,0.89,-0.416,4.57,12.8
Kepler-1729,,3837,0.52,0.54,-0.663,4.75,1.2
Kepler-1730,,5942,1.14,1.01,0.075,4.33,7.4
Kepler-1731,,4859,0.72,0.78,-0.6,4.61,13.9
Kepler-1732,,5821,1.49,1.04,0.296,4.11,2
Kepler-1733,,6320,1.25,1.27,0.43,4.35,0.2
Kepler-1734,,6061,0.97,1.05,0.144,4.49,0.3
Kepler-1735,,3975,0.51,0.54,-1.193,4.75,14
Kepler-1736,,6085,0.97,0.98,0.402,4.45,1.7
Kepler-1737,,5043,0.88,0.83,-0.344,4.47,13.7
Kepler-1738,,6063,1,1.08,-0.005,4.47,0.3
Kepler-1739,,5757,0.76,0.86,-0.14,4.6,0.4
Kepler-1740,,5705,0.91,0.94,-0.079,4.5,
Kepler-1741,,3683,0.42,0.45,-1.242,4.84,13.4
Kepler-1742,,5776,0.85,0.94,-0.184,4.55,0.5
Kepler-1743,,5855,1.61,1.27,0.599,4.12,5.1
Kepler-1744,,5986,0.85,0.89,-0.098,4.53,
Kepler-1745,,5611,1.4,0.99,0.007,4.14,2.1
Kepler-1746,,6018,1.29,1.09,0.496,4.26,
Kepler-1747,,5477,0.86,0.98,-0.205,4.56,0.7
Kepler-1748,,5774,0.86,0.92,-0.35,4.53,
Kepler-1749,,3957,0.55,0.55,-0.95,4.69,13.9
Kepler-1750,,5644,0.97,0.98,0.061,4.46,0.5
Kepler-1751,,6052,0.97,0.97,0.036,4.46,1.9
Kepler-1752,,5446,0.82,0.82,-0.398,4.53,7.2
Kepler-1753,,5180,0.77,0.86,-0.56,4.6,6.2
Kepler-1754,,4723,0.75,0.73,-0.612,4.56,
Kepler-1755,,6086,0.92,1,0.274,4.51,0.3
Kepler-1756,,4915,0.81,0.78,-0.459,4.51,13.7
Kepler-1757,,5288,0.74,0.83,-0.369,4.61,0.7
Kepler-1758,,5557,1.62,1.04,0.485,4.04,0.4
Kepler-1759,,5017,0.8,0.76,-0.563,4.52,13.8
Kepler-1760,,5229,0.9,0.82,-0.26,4.44,0.6
Kepler-1761,,3871,0.53,0.57,-1.17,4.74,13.9
Kepler-1762,,6572,1.24,1.3,0.331,4.37,0.28
Kepler-1763,,5897,1.26,1.03,0.274,4.25,5.4
Kepler-1764,,6461,1.13,1.16,0.415,4.4,0.24
Kepler-1765,,5692,1.06,0.95,-0.136,4.36,11.9
Kepler-1766,,5868,1.04,0.92,0.175,4.36,7.3
Kepler-1767,,5243,0.83,0.89,-0.503,4.55,0.6
Kepler-1768,,6050,1.57,1.24,0.287,4.14,
Kepler-1769,,6071,1.3,1.06,0.215,4.24,2.67
Kepler-1770,,5602,1.01,0.94,-0.209,4.4,12.3
Kepler-1771,,5661,0.93,0.94,-0.092,4.47,0.8
Kepler-1772,,5541,0.93,0.94,0.472,4.47,5.1
Kepler-1773,,6183,1.3,1.24,0.405,4.3,2.91
Kepler-1774,,6214,1.12,1.1,0.19,4.38,2.5
Kepler-1775,,5818,1.65,1.15,0.246,4.07,0.4
Kepler-1776,,5872,1.15,1.04,0.164,4.33,0.6
Kepler-1777,,5771,1.07,0.98,-0.033,4.37,3.1
Kepler-1778,,6310,1.09,1.14,0.098,4.42,0.3
Kepler-1779,,5730,1.06,1.01,-0.05,4.39,0.6
Kepler-1780,,5403,0.87,0.87,-0.217,4.5,0.6
Kepler-1781,,5568,0.96,1.05,-0.361,4.5,0.9
Kepler-1782,,4931,0.73,0.79,-0.556,4.61,14
Kepler-1783,,5129,1.78,0.89,-0.451,3.88,13.9
Kepler-1784,,5442,0.97,0.89,-0.121,4.41,13.8
Kepler-1785,,5618,1,0.91,0.003,4.4,0.3
Kepler-1786,,5808,1.4,1.06,0.159,4.17,0.5
Kepler-1787,,6060,0.93,1.01,-0.098,4.51,0.3
Kepler-1788,,4786,0.7,0.69,-0.611,4.58,13.8
Kepler-1789,,5436,0.89,0.92,-0.231,4.5,4.5
Kepler-1790,,5866,1.37,1.02,0.383,4.17,0.5
Kepler-1791,,5887,1.18,0.99,0.176,4.29,3.73
Kepler-1792,,5229,1.01,0.88,-0.508,4.38,
Kepler-1793,,5191,0.76,0.85,-0.234,4.6,3.6
Kepler-1794,,5052,0.82,0.77,-0.611,4.5,14
Kepler-1795,,4500,0.69,0.77,-0.757,4.64,5.8
Kepler-1796,,6036,0.95,1.02,0.118,4.49,0.4
Kepler-1797,,6244,1.01,1.07,0.062,4.46,0.4
Kepler-1798,,3967,0.59,0.59,-0.957,4.67,13.9
Kepler-1799,,5831,0.92,1.02,0.314,4.52,0.5
Kepler-1800,,5343,2.51,1.33,-0.188,3.76,14
Kepler-1801,,5738,0.98,0.94,-0.223,4.43,8.1
Kepler-1804,,5109,1.67,0.93,-0.512,3.96,14
Kepler-1805,,3867,0.55,0.58,-1.177,4.72,13.8
Kepler-1806,,5311,0.79,0.88,-0.435,4.59,0.6
Kepler-1807,,6455,1.5,1.09,0.603,4.12,2.95
Kepler-1808,,5530,0.89,0.77,-0.062,4.42,12.1
Kepler-1809,,4901,0.72,0.81,-0.471,4.62,7
Kepler-1810,,5492,1.02,0.92,-0.158,4.39,4.5
Kepler-1811,,5561,1.19,0.95,0.154,4.26,0.4
Kepler-1812,,6174,1.1,1.16,0.28,4.42,1
Kepler-1813,,5167,0.79,0.81,-0.4,4.56,2.3
Kepler-1814,,4922,0.82,0.79,-0.506,4.5,
Kepler-1815,,5516,0.97,0.86,-0.03,4.4,13.5
Kepler-1816,,5051,0.71,0.79,-0.531,4.63,0.7
Kepler-1817,,5316,0.92,0.88,-0.38,4.46,0.4
Kepler-1818,,6047,1.13,1.02,0.261,4.34,5.4
Kepler-1819,,6090,1.07,1.17,0.086,4.45,0.4
Kepler-1820,,5841,0.93,1.05,-0.022,4.52,0.4
Kepler-1821,,5475,0.88,0.95,-0.124,4.52,0.4
Kepler-1822,,5165,0.7,0.78,-0.286,4.63,0.8
Kepler-1823,,6000,1.13,1.07,0.287,4.36,1.88
Kepler-1824,,6002,1.08,1.14,0.171,4.42,0.33
Kepler-1825,,5123,0.85,0.83,-0.532,4.5,14
Kepler-1826,,3821,0.49,0.49,-1.122,4.75,13.8
Kepler-1827,,5423,1.4,0.92,0.187,4.11,13.2
Kepler-1828,,5806,0.9,1,-0.111,4.53,0.4
Kepler-1829,,5230,0.78,0.87,-0.394,4.59,4.4
Kepler-1830,,6160,2.05,1.44,0.631,3.98,0.32
Kepler-1831,,6063,1.01,1.12,-0.045,4.48,0.3
Kepler-1832,,5242,0.72,0.68,-0.337,4.56,14
Kepler-1833,,6164,1.45,1.29,0.437,4.23,2.57
Kepler-1834,,4821,0.79,0.77,-0.577,4.53,12.2
Kepler-1835,,5903,0.96,0.92,0.078,4.44,4.8
Kepler-1836,,6123,0.99,1.05,0.016,4.47,
Kepler-1837,,5966,0.96,1.05,-0.068,4.49,0.5
Kepler-1838,,5877,1.96,1.19,0.537,3.93,6.2
Kepler-1839,,5926,0.94,1.03,0.192,4.51,0.4
Kepler-1840,,4898,0.8,0.77,-0.587,4.52,14
Kepler-1841,,5190,0.9,0.82,-0.278,4.45,11.6
Kepler-1842,,5970,1.13,1.06,-0.026,4.36,7
Kepler-1843,,5422,1.78,1.02,0.394,3.95,10.8
Kepler-1844,,5776,0.85,0.94,0.226,4.55,
Kepler-1845,,4703,0.7,0.69,-0.578,4.58,1
Kepler-1846,,4825,0.73,0.79,-0.53,4.6,14
Kepler-1847,,6122,0.96,1.04,0.099,4.49,0.4
Kepler-1848,,4847,0.74,0.76,-0.513,4.58,13.8
Kepler-1849,,4806,0.73,0.71,-0.662,4.56,13.5
Kepler-1850,,4239,0.6,0.61,-0.81,4.67,13.8
Kepler-1851,,5982,0.88,0.97,0.06,4.54,0.3
Kepler-1852,,5237,0.83,0.93,-0.432,4.57,8.6
Kepler-1853,,4821,0.79,0.77,-0.562,4.53,14
Kepler-1854,,5026,0.76,0.8,-0.479,4.58,0.7
Kepler-1855,,3460,0.36,0.39,-1.295,4.92,13.8
Kepler-1856,,4948,0.82,0.78,-0.331,4.51,10.9
Kepler-1857,,6074,1.01,0.87,0.205,4.38,3.5
Kepler-1858,,4939,0.82,0.79,-0.453,4.51,0.7
Kepler-1859,,5887,1.24,1.09,0.154,4.29,2.5
Kepler-1860,,5420,0.87,0.87,-0.181,4.5,0.4
Kepler-1861,,5855,1.37,1.16,0.3,4.23,2.8
Kepler-1862,,5644,0.81,0.9,-0.215,4.58,0.4
Kepler-1863,,5871,0.98,1.1,0.41,4.49,4.7
Kepler-1864,,5854,0.98,1.03,0.03,4.47,
Kepler-1865,,5420,0.87,0.85,-0.329,4.49,11.6
Kepler-1866,,5791,1.08,1.03,0.144,4.38,0.3
Kepler-1867,,5693,0.82,0.91,0.219,4.57,0.5
Kepler-1868,,4658,0.69,0.74,-0.662,4.63,14
Kepler-1869,,5808,0.9,0.99,-0.05,4.52,6.3
Kepler-1870,,5508,0.84,0.96,-0.226,4.57,13.4
Kepler-1871,,5741,0.95,1.02,0.003,4.5,5.7
Kepler-1872,,5223,0.89,0.91,-0.506,4.5,
Kepler-1873,,5151,0.79,0.9,-0.41,4.59,1
Kepler-1874,,4701,0.78,0.76,-0.577,4.54,13.8
Kepler-1875,,6161,0.86,0.95,0.407,4.54,0.3
Kepler-1876,,6057,1.47,1.08,0.429,4.14,4.5
Kepler-1877,,5615,0.94,1.02,-0.077,4.5,0.4
Kepler-1878,,5918,0.86,0.96,0.187,4.54,
Kepler-1879,,5865,1.39,1.02,0.384,4.16,4.3
Kepler-1880,,4380,0.53,0.52,-0.762,4.71,13.6
Kepler-1881,,5135,0.87,0.81,-0.307,4.46,0.9
Kepler-1882,,5691,1.46,1.07,0.237,4.14,7.8
Kepler-1883,,6208,1.02,1.09,-0.016,4.45,
Kepler-1884,,5984,0.91,0.99,0.277,4.52,0.3
Kepler-1885,,5591,0.86,0.98,-0.176,4.56,0.9
Kepler-1886,,5745,0.84,0.93,-0.161,4.56,
Kepler-1887,,5749,0.86,0.96,-0.19,4.55,0.5
Kepler-1888,,5557,1.25,0.9,0.374,4.2,11.3
Kepler-1889,,5646,0.82,0.86,0.22,4.55,
Kepler-1890,,6046,1.4,1.02,0.267,4.16,2.65
Kepler-1891,,5516,0.83,0.87,-0.231,4.54,3.7
Kepler-1892,,5383,0.76,0.85,-0.301,4.6,0.5
Kepler-1893,,5633,1.16,0.97,0.16,4.3,13.9
Kepler-1894,,5772,0.9,1,-0.27,4.53,0.5
Kepler-1895,,5076,0.76,0.86,-0.23,4.6,1.2
Kepler-1896,,6122,1,1.07,0.174,4.47,
Kepler-1897,,5165,0.76,0.86,-0.39,4.6,4.2
Kepler-1898,,5702,1.12,0.84,-0.235,4.26,
Kepler-1899,,4791,0.74,0.76,-0.672,4.58,13.9
Kepler-1900,,6173,1.04,1.1,0.22,4.45,0.4
Kepler-1901,,5696,0.92,1.02,-0.003,4.52,0.7
Kepler-1902,,3729,0.51,0.52,-1.117,4.73,
Kepler-1903,,6347,1,1.05,0.292,4.46,0.23
Kepler-1904,,3805,0.5,0.53,-1.298,4.77,1.2
Kepler-1905,,5788,1.02,1.04,-0.025,4.44,0.3
Kepler-1906,,5868,0.89,0.99,0.242,4.53,0.5
Kepler-1909,,4935,0.69,0.66,-0.576,4.59,13.9
Kepler-1910,,4234,0.64,0.64,-0.927,4.63,13.9
Kepler-1911,,5721,0.97,0.95,-0.078,4.44,
Kepler-1912,,5734,0.96,0.98,-0.049,4.46,
Kepler-1913,,6214,1.08,1.17,-0.055,4.44,
Kepler-1914,,5982,0.96,1.05,0.077,4.49,
Kepler-1915,,6020,1.06,1.03,0.061,4.4,
Kepler-1916,,6246,1.09,1.18,0.214,4.43,
Kepler-1917,,5530,0.79,0.88,-0.296,4.59,
Kepler-1918,,5889,0.92,0.97,-0.308,4.49,
Kepler-1919,,5513,0.82,0.87,-0.274,4.55,
Kepler-1920,,6277,1.16,1.24,0.1,4.4,
Kepler-1921,,6120,2,1.25,0.806,3.93,
Kepler-1922,,5931,0.86,0.95,0.152,4.54,
Kepler-1923,,5881,1.29,1.11,0.257,4.26,
Kepler-1924,,5726,1.29,1.02,0.452,4.23,
Kepler-1925,,5856,1.09,1.06,0.365,4.39,
Kepler-1926,,5256,0.83,0.77,-0.647,4.48,
Kepler-1927,,6056,2.48,1.41,0.774,3.8,
Kepler-1928,,5720,0.92,1.01,-0.092,4.53,0.105
Kepler-1929,,5786,1.47,1.01,0.593,4.11,
Kepler-1930,,5083,0.84,0.84,-0.505,4.51,
Kepler-1931,,6167,1.22,1.17,0.474,4.33,
Kepler-1932,,5278,0.82,0.91,-0.352,4.58,
Kepler-1933,,5661,1.01,0.96,-0.116,4.42,
Kepler-1934,,5925,1.04,0.97,0.108,4.39,
Kepler-1935,,5570,0.9,0.85,0.164,4.46,
Kepler-1936,,6501,1.85,1.42,0.456,4.05,
Kepler-1937,,6457,1.2,1.19,0.209,4.36,
Kepler-1938,,4522,0.66,0.65,-0.65,4.62,
Kepler-1939,,4353,0.6,0.65,-0.808,4.68,
Kepler-1940,,5431,0.72,0.8,-0.377,4.62,
Kepler-1941,,6404,1.14,1.18,0.436,4.39,
Kepler-1942,,5834,0.8,0.85,-0.075,4.57,
Kepler-1943,,6032,0.97,1.06,0.445,4.49,
Kepler-1944,,5585,0.97,1.06,-0.083,4.49,
Kepler-1945,,4991,0.8,0.77,-0.441,4.51,
Kepler-1946,,5505,0.87,0.89,-0.279,4.5,
Kepler-1947,,6040,1.69,0.98,0.111,3.98,
Kepler-1948,,3872,0.56,0.59,-0.862,4.71,
Kepler-1949,,6028,1.45,1.19,0.713,4.19,
Kepler-1950,,5455,0.85,0.76,-0.223,4.46,
Kepler-1951,,5468,1.31,0.92,0.501,4.17,
Kepler-1952,,5973,1.31,0.92,0.291,4.17,
Kepler-1953,,4858,0.71,0.79,-0.63,4.62,
Kepler-1954,,5840,0.85,0.94,0.045,4.55,
Kepler-1955,,5825,1.29,1.05,0.23,4.24,
Kepler-1956,,4391,0.68,0.67,-1.045,4.6,
Kepler-1957,,4904,0.77,0.74,-0.601,4.54,
Kepler-1958,,5749,0.86,0.96,-0.001,4.55,
Kepler-1959,,5071,0.81,0.77,-0.474,4.5,
Kepler-1960,,6371,1.07,1.12,0.271,4.43,
Kepler-1961,,5401,0.78,0.87,-0.276,4.59,
Kepler-1962,,5700,1.01,1,-0.122,4.43,
Kepler-1963,,5726,0.98,0.92,-0.259,4.42,
Kepler-1964,,4803,0.7,0.75,-0.631,4.62,
Kepler-1965,,5852,0.84,0.93,-0.076,4.56,
Kepler-1966,,5009,0.84,0.8,-0.567,4.49,
Kepler-1967,,4970,1.81,1,-0.567,3.92,
Kepler-1968,,5008,0.79,0.84,-0.65,4.57,
Kepler-1969,,6046,1.01,1.11,-0.181,4.48,
Kepler-1976,,5712,1.08,0.98,0.041,4.36,0.3
Kepler-21,F6 IV,6305,1.9,1.41,0.715,4.03,3.03
Kepler-22,G5 V,5518,0.98,0.97,-0.102,4.44,7.08
Kepler-34,,5913,1.16,1.05,0.173,4.33,
Kepler-35,,5606,1.03,0.89,-0.027,4.36,
Kepler-38,G4 V,5623,1.75,0.94,0.492,3.93,10
Kepler-39,F7 V,6350,1.4,1.29,0.346,4.4,2.1
Kepler-4,,5857,1.49,1.22,0.354,4.17,4.5
Kepler-40,F5 IV,6510,2.13,1.48,0.819,3.94,2.8
Kepler-408,,6104,1.23,1.08,0.283,4.29,6.68
Kepler-409,,5460,0.89,0.92,-0.202,4.5,6.8
Kepler-41,G2 V,5750,1.29,1.15,0.262,4.28,4.4
Kepler-410 A,,6273,1.35,1.21,0.435,4.26,2.76
Kepler-412,G3 V,5750,1.29,1.17,0.269,4.3,5.37
Kepler-413,,4700,0.78,0.82,-0.43,4.57,
Kepler-421,G9/K0,5308,0.76,0.79,-0.398,4.61,4
Kepler-422,,5972,1.24,1.15,0.24,4.31,3.4
